0,193,563
1,167,668
3,333,768
2,490,1093
4,546,1158
5,644,1817
6,699,1958
7,861,2314
8,969,2357
9,1032,2576
11,1215,2649
12,1228,3203
10,1265,3576
14,1409,4259
13,1427,4805
15,1755,4607
18,1800,4886
16,1865,4830
19,1912,5637
17,1919,5940
20,2040,5899
21,2246,5774
22,2372,5733
24,2517,6315
23,2567,6795
25,2661,6863
26,2815,6717
29,2979,7098
27,2997,8513
28,3033,8814
31,3186,9144
30,3298,9040
32,3453,9288
34,3475,9317
33,3502,9695
35,3714,10092
37,3716,10548
36,3832,10737
38,4078,11088
40,4147,11146
39,4145,11779
42,4235,12163
43,4325,12195
41,4376,12271
45,4545,12952
44,4608,13113
47,4792,13040
46,4808,13231
49,4904,13489
48,5090,13747
50,5129,14239
51,5186,14554
52,5431,14512
54,5447,14595
53,5527,14984
56,5628,15089
55,5756,15164
57,5892,15980
58,5917,16074
59,5988,16363
60,6079,16646
63,6374,16452
62,6380,17245
61,6391,17610
64,6461,17669
65,6658,17843
66,6716,18113
67,6784,18277
69,6996,18920
68,7008,19608
70,7061,19971
72,7292,20180
73,7337,20627
71,7367,20715
75,7658,20967
74,7665,21773
76,7730,22168
78,7806,22604
77,7835,23423
79,8139,23718
80,8203,24174
81,8351,24246
82,8391,24710
83,8446,24948
85,8597,25381
84,8652,25540
86,8819,26187
88,8900,26641
87,8996,27253
89,9094,27171
91,9135,27436
90,9293,27368
92,9329,27441
93,9371,27939
95,9579,28590
94,9602,29264
96,9617,29335
97,9857,29233
98,9854,29739
99,10019,30202
